Customer ID,Recency,Frequency,Monetary,State,Cluster,Segment_Label
12346,529,10,1805.5,Johor,3,At-Risk High Value (lapsing loyal spender)
12347,2,8,20753.4,Kedah,2,"Champions (recent, frequent, high spend)"
12348,75,5,4397.5,Selangor,3,At-Risk High Value (lapsing loyal spender)
12349,19,3,15633.7,Johor,0,"New / Promising (recent, low frequency & value)"
12350,310,1,1826.2,Kuala Lumpur,1,Lost / Dormant Low-Value
12351,375,1,1681.2,Johor,1,Lost / Dormant Low-Value
12352,36,9,10153.7,Penang,2,"Champions (recent, frequent, high spend)"
12353,204,2,2229.8,Selangor,1,Lost / Dormant Low-Value
12354,232,1,5319.3,Johor,3,At-Risk High Value (lapsing loyal spender)
12355,214,2,3470.8,Selangor,3,At-Risk High Value (lapsing loyal spender)
12356,23,6,9151.5,Kuala Lumpur,2,"Champions (recent, frequent, high spend)"
12357,33,2,19485.5,Kuala Lumpur,0,"New / Promising (recent, low frequency & value)"
12358,2,5,5328.8,Johor,0,"New / Promising (recent, low frequency & value)"
12359,58,10,33985.1,Kuala Lumpur,2,"Champions (recent, frequent, high spend)"
12360,52,7,17900.4,Kuala Lumpur,2,"Champions (recent, frequent, high spend)"
12361,287,4,2800.4,Sabah,3,At-Risk High Value (lapsing loyal spender)
12362,3,10,25241.9,Johor,2,"Champions (recent, frequent, high spend)"
12363,110,2,2269.8,Perak,1,Lost / Dormant Low-Value
12364,8,4,6648.5,Selangor,0,"New / Promising (recent, low frequency & value)"
12365,291,1,1761.8,Selangor,1,Lost / Dormant Low-Value
12367,4,1,934.4000000000001,Johor,0,"New / Promising (recent, low frequency & value)"
12368,628,1,1080.0,Selangor,1,Lost / Dormant Low-Value
12369,413,3,7940.1,Kuala Lumpur,3,At-Risk High Value (lapsing loyal spender)
12370,51,7,15807.2,Selangor,2,"Champions (recent, frequent, high spend)"
12371,60,4,16708.9,Penang,3,At-Risk High Value (lapsing loyal spender)
12372,72,3,4665.2,Sarawak,3,At-Risk High Value (lapsing loyal spender)
12373,311,3,5289.0,Sarawak,3,At-Risk High Value (lapsing loyal spender)
12374,25,3,7285.0,Penang,0,"New / Promising (recent, low frequency & value)"
12375,11,2,2175.4,Johor,0,"New / Promising (recent, low frequency & value)"
12376,390,2,999.6,Johor,1,Lost / Dormant Low-Value
12377,315,4,15016.3,Selangor,3,At-Risk High Value (lapsing loyal spender)
12378,130,2,28169.7,Kuala Lumpur,3,At-Risk High Value (lapsing loyal spender)
12379,82,4,7961.5,Sarawak,3,At-Risk High Value (lapsing loyal spender)
12380,22,8,25840.9,Negeri Sembilan,2,"Champions (recent, frequent, high spend)"
12381,5,5,8001.6,Kuala Lumpur,0,"New / Promising (recent, low frequency & value)"
12383,185,5,7808.0,Selangor,3,At-Risk High Value (lapsing loyal spender)
12384,29,2,2336.7,Selangor,0,"New / Promising (recent, low frequency & value)"
12385,379,1,5921.2,Selangor,3,At-Risk High Value (lapsing loyal spender)
12386,367,1,791.2,Sabah,1,Lost / Dormant Low-Value
12387,415,1,802.8,Selangor,1,Lost / Dormant Low-Value
